category,agency,account,project,state,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,member_state,LES,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Commerce, Justice, Science, and Related Agencies",Defense,"Energy and Water Development, and Related Agencies",Financial Services and General Government,Homeland Security,"Interior, Environment, and Related Agencies","Labor, Health and Human Services, Education, and Related Agencies","Military Construction, Veterans Affairs, and Related Agencies","Transportation, and Housing and Urban Development, and Related Agencies",Relevant_Committee,party_status_majority
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Statewide Pest Surveys,AK,100000.0,S,Lisa Murkowski,M001153,sen,Republican,None,None,None,None,AK,1.7114720344543457,0,0,0,0,1,0,1,1,0,0,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Feral Swine Management,AR,650000.0,S,John Boozman,B001236,sen,Republican,None,None,None,None,AR,0.3574160039424896,1,0,0,1,1,0,0,0,1,1,1,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Invasive Species Surveillance,HI,600000.0,S,Mazie K. Hirono,H001042,sen,Democrat,Brian Schatz,S001194,sen,Democrat,HI,0.8283229470252991,0,1,1,0,0,0,1,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Kula Agricultural Fencing,HI,600000.0,S,Brian Schatz,S001194,sen,Democrat,None,None,None,None,HI,1.275588870048523,0,1,0,0,1,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,O’Hare Federal Inspection Station,IL,250000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Horse Management,NV,500000.0,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,NV,2.4666779041290283,0,0,0,0,1,0,1,0,0,1,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,New York Dairy Farms Antimicrobial Stewardship,NY,180000.0,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,NY,0.7878498435020447,1,0,1,0,0,0,0,0,1,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Biorepository,OK,594000.0,S,James M. Inhofe,I000024,sen,Republican,None,None,None,None,OK,0.16212400794029236,1,0,1,1,0,0,0,0,1,1,1,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Educational Facility Renovations,AK,840000.0,S,Lisa Murkowski,M001153,sen,Republican,None,None,None,None,AK,1.7114720344543457,0,0,0,0,1,0,1,1,0,0,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Matsu Food Bank Renovations,AK,1500000.0,S,Lisa Murkowski,M001153,sen,Republican,None,None,None,None,AK,1.7114720344543457,0,0,0,0,1,0,1,1,0,0,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Rodeo Drive Improvements,AZ,240000.0,S,Kyrsten Sinema,S001191,sen,Democrat,None,None,None,None,AZ,0.7415549159049988,0,1,0,0,1,0,0,0,1,1,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Del Norte County Facility Improvements,CA,3080000.0,S,Dianne Feinstein,F000062,sen,Democrat,None,None,None,None,CA,1.1786202192306519,0,1,1,0,1,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Inyo County Eastern Sierra Small Business Center,CA,205000.0,S,Dianne Feinstein,F000062,sen,Democrat,Alex Padilla,P000145,sen,Democrat,CA,1.1786202192306519,0,1,1,0,1,0,0,0,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Justice Center,CO,3575000.0,S,Michael F. Bennet,B001267,sen,Democrat,John W. Hickenlooper,H000273,sen,Democrat,CO,0.32766950130462646,1,0,1,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Montrose County Courthouse Renovation,CO,7725000.0,S,John W. Hickenlooper,H000273,sen,Democrat,None,None,None,None,CO,0.689298689365387,0,1,0,0,0,0,1,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Kwiyagat Community Academy K Through 5 Education Building,CO,2000000.0,S,Michael F. Bennet,B001267,sen,Democrat,None,None,None,None,CO,0.32766950130462646,1,0,1,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Moffat County Courthouse,CO,4650000.0,S,Michael F. Bennet,B001267,sen,Democrat,None,None,None,None,CO,0.32766950130462646,1,0,1,0,1,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fort Lewis College Regional Agriculture and Food Security,CO,159999.0,S,John W. Hickenlooper,H000273,sen,Democrat,None,None,None,None,CO,0.689298689365387,0,1,0,0,0,0,1,1,0,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Milton Theatre Capital Improvements,DE,100000.0,S,Thomas R. Carper,C000174,sen,Democrat,Christopher A. Coons,C001088,sen,Democrat,DE,0.8036460876464844,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Food Space Expansion,GA,299000.0,S,Jon Ossoff,O000174,sen,Democrat,None,None,None,None,GA,1.4268244504928589,0,1,0,0,1,0,0,0,0,1,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Eatonton City Center Community Facility,GA,250000.0,S,Raphael G. Warnock,W000790,sen,Democrat,None,None,None,None,GA,0.9862566590309143,1,1,0,0,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Warren Volunteer Fire Department,GA,1400000.0,S,Raphael G. Warnock,W000790,sen,Democrat,None,None,None,None,GA,0.9862566590309143,1,1,0,0,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Bethea Hospital Facility Improvements,IL,334000.0,S,Tammy Duckworth,D000622,sen,Democrat,Richard J. Durbin,D000563,sen,Democrat,IL,1.3230297565460205,1,1,1,1,0,0,0,0,1,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Plainville Public Building Renovations,KS,100000.0,S,Jerry Moran,M000934,sen,Republican,None,None,None,None,KS,1.1787668466567993,0,1,0,0,1,0,0,1,1,1,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Corinna Fire Station Improvements,ME,1725000.0,S,Susan M. Collins,C001035,sen,Republican,None,None,None,None,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Harrison Foodbank Expansion,ME,388888.0,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Millinocket Library,ME,56000.0,S,"Angus S. King, Jr.",K000383,sen,Independent,None,None,None,None,ME,0.6781044602394104,0,0,1,0,0,0,1,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Washburn Public Safety Building Improvements,ME,750000.0,S,Susan M. Collins,C001035,sen,Republican,None,None,None,None,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Machiasport Public Works Building Improvements,ME,1125000.0,S,Susan M. Collins,C001035,sen,Republican,None,None,None,None,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,0,0
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,St. Albans Town Hall Improvements,ME,23000.0,S,"Angus S. King, Jr.",K000383,sen,Independent,None,None,None,None,ME,0.6781044602394104,0,0,1,0,0,0,1,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Cass County Courthouse Renovation,MI,1500000.0,S,Gary C. Peters,P000595,sen,Democrat,None,None,None,None,MI,6.725162506103516,0,1,1,0,1,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Three Rivers Hospital Redevelopment,MI,750000.0,S,Gary C. Peters,P000595,sen,Democrat,None,None,None,None,MI,6.725162506103516,0,1,1,0,1,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Mobile Wi-Fi Unit,MI,76000.0,S,Debbie Stabenow,S000770,sen,Democrat,None,None,None,None,MI,0.5295838713645935,1,0,0,1,1,0,0,0,0,1,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Childcare Facility,MN,418000.0,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,MN,2.302414894104004,1,1,0,0,0,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Grand Portage Community Center Upgrades,MN,157000.0,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,MN,2.302414894104004,1,1,0,0,0,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Dilworth Fire Hall,MN,975000.0,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,MN,2.302414894104004,1,1,0,0,0,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Northern Kandiyohi County Food Pantry,MN,193000.0,S,Adam Smith,S000510,rep,Democrat,None,None,None,None,WA,1.5483863353729248,0,0,1,0,0,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,New London Library and City Hall,MN,665000.0,S,Amy Klobuchar,K000367,sen,Democrat,None,None,None,None,MN,2.302414894104004,1,1,0,0,0,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Chisholm Public Safety Building,MN,3500000.0,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,MN,2.302414894104004,1,1,0,0,0,0,0,0,0,0,1,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Campton Emergency Communications Initiative,NH,175000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Children’s Learning Center,NH,200000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
